battery_label,cycle,pulse_number,current,voltage,temperature,r0,r1,c1,SoC,r2,c2
G1,10,0,4.8501482009887695,4.084963798522949,298.15,0.029571241051644954,0.01336415898724542,540.9922721439754,1.0,8.21154043535129e-05,1692.3269549341887
G1,10,1,2.660346031188965,3.998941421508789,298.15,0.0018751660430280227,0.028259922186442816,2.06801664626703,0.9399895357850404,0.01208677253368804,1925.1323277225547
G1,10,2,2.660346031188965,3.889616966247559,298.15,0.02048694992154219,0.00021713497103590496,737.2243715461798,0.8131756362767888,0.01576378403960022,1999.588147806122
G1,10,3,2.660377025604248,3.7995238304138175,298.15,0.019040719808974028,0.0027527937288316625,592.3929541806677,0.7125205436347211,0.017152724686573813,1982.8778312917975
G1,10,4,2.660353660583496,3.692577838897705,298.15,0.018288132734876127,0.02831725188526472,1999.618980360171,0.6069403518501812,7.2454055716185e-05,708.5204580571814
G1,10,5,2.660414695739746,3.606288433074951,298.15,0.01536718254193328,0.0033505547642625863,167.51084235026576,0.5039437613256502,0.04517416548484725,1999.2657298314039
G1,10,6,2.660339832305908,3.520428419113159,298.15,0.01598039700721312,0.0022031522271016677,593.159581245895,0.4021236001178535,0.06803976696161598,1997.9447836128904
G1,10,7,2.660346031188965,3.412504911422729,298.15,0.007925097283108468,0.01567142356303936,5.335291773814823,0.2931493133040664,0.09809486471290627,1999.3348387275125
G1,10,8,2.660355567932129,3.115297317504883,298.15,0.04238958238947523,0.26301780524324847,1998.7799275412665,0.1956414552090943,0.00010561850083579149,1989.547220552396
G1,10,9,2.6604061126708984,3.149574041366577,298.15,0.052325584992402946,0.31590492248592805,365.92878244098915,0.0822562652494265,0.09691014495838315,1931.012764357442
