battery_label,cycle,pulse_number,current,voltage,temperature,r0,r1,c1,SoC,r2,c2
G1,1,0,4.850397109985352,4.0861124992370605,298.15,0.033834679911787895,0.004673095693650545,586.1163308790454,1.0,0.006761862477512482,1888.1276346539478
G1,1,1,2.6603264808654785,3.99930477142334,298.15,0.03108009586625235,0.002973191923265154,35.06672911608223,0.9406481297777646,0.012257943382262706,1898.099274475002
G1,1,2,2.6602625846862797,3.890662908554077,298.15,0.022351730417903823,0.002627883236691733,489.26885065040926,0.8096210806608619,0.014431876249189837,1593.7894493016067
G1,1,3,2.6603078842163086,3.8026115894317623,298.15,0.022380929036744966,0.004319645522680924,352.09788844673875,0.7180417934458868,0.015829031880708087,1988.5107793768468
G1,1,4,2.660313606262207,3.699557065963745,298.15,0.020851564760324258,0.002603820452930655,585.3369010978749,0.6077136684501541,0.023631220378427686,1999.3820269321884
G1,1,5,2.660306930541992,3.6237287521362314,298.15,0.018823017361538838,0.04143172044950896,1397.0339973519278,0.5089684306611363,0.0007765812505548281,1650.4486677467912
G1,1,6,2.6602606773376465,3.546583652496338,298.15,0.001892786315210248,0.01937474582935553,4.501817391302542,0.4217395541597445,0.06179783335706244,1999.95770429682
G1,1,7,2.660287857055664,3.45179295539856,298.15,0.025213737423870033,0.00018208048673792714,132.75101452011785,0.3197853388606031,0.07889376345001038,1997.7700263097834
G1,1,8,2.6602354049682617,3.233104705810547,298.15,0.030766416482273195,0.0006794776676013734,1904.5466628009608,0.2228936722511492,0.17280135667955154,1998.9059441120485
G1,1,9,2.66025447845459,3.248051166534424,298.15,0.07216376370270529,0.031848066731401045,203.69352882789303,0.1151197808317211,0.13897620590176124,1488.1028098589222
