battery_label,cycle,pulse_number,current,voltage,temperature,r0,r1,c1,soc,r2,c2
G1,0,0,4.850233554840088,4.085053443908691,298.15,0.0350879078030624,0.0087245589177122,1457.1082838866598,1.0,0.0022113310456091,636.5413974682456
G1,0,1,2.660430431365967,3.99975061416626,298.15,0.030389957743968,0.0031833223352759,400.8534274675612,0.9383715075161218,0.0120212434581901,1751.3228597706595
G1,0,2,2.660465240478516,3.8911852836608887,298.15,0.0236623241654264,0.0016904845545342,1090.3516292427337,0.809325887764016,0.0137226927105559,1790.437127505336
G1,0,3,2.660435199737549,3.803870916366577,298.15,0.0256453278948174,0.0006037950574356,1857.8899119370567,0.7183689852015972,0.0161622184128539,1754.1300597977108
G1,0,4,2.66042423248291,3.703467845916748,298.15,0.0099221040102698,0.013769445845238,1.435760879806259,0.6095307141681289,0.0224042034332681,1980.0106492607067
G1,0,5,2.660403251647949,3.627509117126465,298.15,0.0242165420821212,0.0002694121465087,52.57360207350894,0.5124035389160214,0.0372259540432761,1993.951961136653
G1,0,6,2.660440921783448,3.553748607635498,298.15,0.0091586735452956,0.0118317471107079,3.954105489870959,0.4264204656776597,0.0606177378172595,1999.128689596908
G1,0,7,2.6604323387146,3.457841157913208,298.15,0.0166430982128848,0.0088366868318867,24.54065601311762,0.3280274904984083,0.0788231168549189,1999.532101553185
G1,0,8,2.66036319732666,3.256294012069702,298.15,0.0274750590318493,0.0042781688281581,69.17804235468223,0.2273763897963354,0.1557555223457055,1997.9062885359228
G1,0,9,2.660385608673096,3.269026756286621,298.15,0.0720279639006218,0.0308951451378869,495.20671224009175,0.1225761488765706,0.1607121752182569,1814.551126081432
G1,1,0,4.850397109985352,4.0861124992370605,298.15,0.0309726660857402,0.0110841146475603,623.0023914077116,1.0,0.0035880204645641,1693.7451689853235
G1,1,1,2.6603264808654785,3.99930477142334,298.15,0.0235187048547525,0.0109881649748252,418.2657495385092,0.9406481297777646,0.011495760130671,1891.8083204275983
G1,1,2,2.66026258468628,3.890662908554077,298.15,0.0135807809348464,0.0115524805279882,22.984368964797312,0.8096210806608619,0.0150146081308516,1904.1863723996437
G1,1,3,2.6603078842163086,3.802611589431762,298.15,0.0235122814345663,0.0016143442225123,696.2145519102339,0.7180417934458868,0.01761717463671,1845.6961034753988
G1,1,4,2.660313606262207,3.699557065963745,298.15,0.0199962182909478,0.0032447048496167,3.1280995090718164,0.6077136684501541,0.023825269025093,1988.3270621376712
G1,1,5,2.660306930541992,3.623728752136232,298.15,0.0123188301624895,0.0116330792992941,2.185383734307746,0.5089684306611363,0.038800726889658,1999.4564817839089
G1,1,6,2.6602606773376465,3.546583652496338,298.15,0.012629488855336,0.0086106478388696,5.628995073258983,0.4217395541597445,0.0610980246625281,1999.8664225691296
G1,1,7,2.660287857055664,3.45179295539856,298.15,0.0244743082080182,0.0015292790652911,443.5511531693136,0.3197853388606031,0.0796941630915194,1999.7351252090527
G1,1,8,2.6602354049682617,3.233104705810547,298.15,0.0319167672528349,0.0004319112787155,896.6327306785358,0.2228936722511492,0.1718175034635615,1998.3946870984364
