battery_label,cycle,pulse_number,current,voltage,temperature,r0,r1,c1,SoC,r2,c2
G1,0,0,4.850233554840088,4.085053443908691,298.15,0.03365692670676699,0.010456871447611293,1267.4209942288835,1.0,0.002026915969613524,296.6490822908503
G1,0,1,2.660430431365967,3.99975061416626,298.15,0.02982047770993946,0.005498592673485758,436.41582236288525,0.9383715075161218,0.01018110870564236,1939.3672166781841
G1,0,2,2.660465240478516,3.8911852836608887,298.15,0.0245941459101579,0.0007865948039010608,3.186448483577607,0.809325887764016,0.01395797708288547,1803.8549230216163
G1,0,3,2.660435199737549,3.803870916366577,298.15,0.01864362315205895,0.009033216401947014,279.00056921659103,0.7183689852015972,0.014412136900582722,1835.139637843177
G1,0,4,2.66042423248291,3.703467845916748,298.15,0.011314247578613741,0.012552344458641231,1.4735258957179171,0.6095307141681289,0.022089850539873186,1999.6894711815673
G1,0,5,2.660403251647949,3.627509117126465,298.15,0.02371469461334656,0.0377479759665086,1998.1930467384666,0.5124035389160214,0.0005458472728914992,654.7790470580248
G1,0,6,2.6604409217834477,3.553748607635498,298.15,0.020781538411794424,0.05836681844387198,1998.2864428234122,0.4264204656776597,0.001470989104763896,1204.0302612854898
G1,0,7,2.6604323387146,3.457841157913208,298.15,0.024226888925419396,0.0002856498313350282,627.4001309849641,0.3280274904984083,0.07986659766474138,1999.9206131117096
G1,0,8,2.66036319732666,3.256294012069702,298.15,0.030408534355748612,0.15599835482303873,1999.9044945645387,0.2273763897963354,0.00026969697617004246,505.8115669314509
G1,0,9,2.660385608673096,3.269026756286621,298.15,0.07711316000910655,0.021179275150694538,495.2882988217503,0.1225761488765706,0.1816790645184187,1757.2925381771697
