current,voltage,temperature,r0,r1,c1,SoC,r2,c2
4.850233554840088,4.085053443908691,298.15,0.0336904537506049,0.011945464466615919,605.0398966687172,1.0,0.0005366231243672169,1949.8685403357927
2.660430431365967,3.99975061416626,298.15,0.03259407054610555,0.0017185588154924728,224.1387402125602,0.9383715075161218,0.011451275030293959,1998.7112628890968
2.660465240478516,3.8911852836608887,298.15,0.002041760384121496,0.023393215124939238,2.4565211167666043,0.809325887764016,0.013814635689141432,1805.1897383563148
2.660435199737549,3.803870916366577,298.15,0.0231530161987934,0.004155699700366115,511.34985144238254,0.7183689852015972,0.015188471100527495,1862.479668741797
2.66042423248291,3.703467845916748,298.15,0.02264125522536491,0.02222537353914488,1915.8265206094002,0.6095307141681289,0.0010542336827856378,512.7453313483002
2.660403251647949,3.627509117126465,298.15,0.0225512708755691,0.0388458338877878,1997.0767751284516,0.5124035389160214,0.00027470004263003455,1795.7281244456642
2.6604409217834477,3.553748607635498,298.15,0.020374645739212906,0.0005313682983054643,443.0067792488929,0.4264204656776597,0.058439336036210876,1987.134089183085
2.6604323387146,3.457841157913208,298.15,0.024273062641153628,0.08123955507934152,1994.4427052866456,0.3280274904984083,0.0001400903855960279,1982.6529572374227
2.66036319732666,3.256294012069702,298.15,0.015438975360148915,0.015168486414896269,6.0137763593698885,0.2273763897963354,0.15874728874931845,1999.6327217875435
2.660385608673096,3.269026756286621,298.15,0.07447250664345086,0.028045117835717726,553.6420930068432,0.1225761488765706,0.18199180784510122,1894.6759620757462
